Evidence ID,Category,What to Capture,How to Capture It,Why It Matters for Your Portfolio,Priority,Status
,,,,,,
--- ARCHITECTURE & DESIGN ---,,,,,,
ARCH-01,Architecture Diagram,Full system architecture diagram: Azure SWA + App Service + PostgreSQL + Azure AD + GitHub Actions,Draw in draw.io or Lucidchart. Export as PNG and PDF. Include network flow and auth flow.,Shows cloud architecture skills. Demonstrates you designed a real multi-tier cloud application on Azure.,Critical,Complete
ARCH-02,Database Schema Diagram,"ERD showing all 20+ tables, relationships, and key constraints",Use DBeaver or pgAdmin auto-generate from the live PostgreSQL database. Export as PNG.,"Demonstrates data modeling competence. Validates domain modeling across stations, vehicles, checks, inventory.",Critical,Complete
ARCH-03,ADR Documents,All Architecture Decision Records in docs/adr/ (ADR-001 through ADR-006),docs/adr/ directory -- already written. Export as PDF or include as GitHub links.,"Shows engineering judgment: what you decided, why, and what tradeoffs you accepted.",High,Complete
ARCH-04,API Surface Overview,"Summary of all API endpoints grouped by router: stations, station_members, vehicles, checks, check_history, repair_requests, inventory, items, admin_items, admin_vehicles, admin_stations, usage, audit (13 routers total, plus shared deps.py for role/auth dependencies)",CODEBASE_INDEX.md already has this table. Export or screenshot.,13 focused routers behind a versioned REST API -- shows deliberate decomposition (monolithic admin.py split into three routers in Session X; the old dead file fully removed in Session AM).,High,Complete
ARCH-05,Migration History,The 29 Alembic migrations (0001-0029 - plus a 0003a branch) showing schema evolution.,  Screenshot or list from CODEBASE_INDEX.md. Could also show git log --oneline on alembic/versions/.,Shows you managed a live schema safely over an extended development lifecycle. Very few junior portfolios show this.,High,Complete
,,,,,,
--- LIVE DEPLOYMENT EVIDENCE ---,,,,,,
LIVE-01,Live App Screenshot - Home Screen,"Screenshot of the production app at https://lively-bush-0ed75ca10.7.azurestaticapps.net showing the home screen, station band, and role badge",Sign in as a real user. Screenshot on both desktop and iPhone.,First visual proof the project is real and deployed -- not just a GitHub repo.,Critical,Complete
LIVE-02,Live App Screenshot - Check Wizard,"Screenshot of Steps 1-5 of the check wizard on Unit 712, showing priority items, compartments, item rows",Run through the wizard on Unit 712 in production. Take screenshots at each step.,Shows the core UX flow works in production against real data.,Critical,Complete
LIVE-03,Live App Screenshot - Compliance Dashboard,Screenshot of the supervisor compliance dashboard with calendar and vehicle compliance cards,Sign in as a Supervisor. Screenshot the dashboard with real check data.,Demonstrates the multi-role design and real-time compliance tracking.,Critical,Complete
LIVE-04,Live App Screenshot - Supply Room,Screenshot of the supply room shelf view with actual stock quantities,Open Station Supplies > View Supplies. Screenshot.,Shows the inventory management module is live and populated.,High,Complete
LIVE-05,Live App Screenshot - Mobile,Screenshots on a real iPhone or Android of the home screen and check wizard,Use your or Earl's iPhone.,Proves the mobile-first claim is real -- not just responsive CSS.,Critical,Complete
LIVE-06,Azure Portal Screenshot - App Service,Screenshot of the Azure App Service blade showing the running app-ems-readykit-dev service and its configuration,Log into Azure Portal. Navigate to the App Service. Screenshot the Overview blade.,Shows real Azure deployment skills -- not just Heroku or Firebase.,High,Complete
LIVE-07,Azure Portal Screenshot - PostgreSQL,Screenshot of the Azure PostgreSQL Flexible Server blade,Azure Portal > PostgreSQL Flexible Server > Overview.,Shows you deployed and managed a managed cloud database.,High,Complete
LIVE-08,Azure Portal Screenshot - Static Web Apps,Screenshot of the Azure Static Web App blade,Azure Portal > Static Web Apps > lively-bush...,Shows SWA deployment with the production URL.,High,Complete
LIVE-09,Azure Portal Screenshot - Azure AD App Registration,"Screenshot of the Azure AD app registration showing the redirect URIs, API permissions, and app roles",Azure Portal > Microsoft Entra ID > App Registrations > EMS ReadyKit.,Demonstrates Azure AD B2C / Entra ID integration -- a sought-after enterprise skill.,Critical,Complete
,,,,,,
--- CI/CD PIPELINE EVIDENCE ---,,,,,,
CICD-01,GitHub Actions Workflow Screenshot - Passing Build,"Screenshot of a successful GitHub Actions run showing all stages: pip-audit, test (530 passing), build, deploy",Go to GitHub.com > EMS_ReadyKit repo > Actions tab. Pick a recent successful run.,Shows CI/CD mastery -- automated testing + deployment pipeline is a key differentiator.,Critical,Complete
CICD-02,GitHub Actions Workflow - Pipeline Diagram,Annotated screenshot or diagram of the 4-stage pipeline (audit > test > build > deploy),Same Actions run -- expand each stage to show the steps.,Explains your pipeline to interviewers at a glance.,High,Complete
CICD-03,Test Suite Run Screenshot,"Screenshot of pytest output: 530 tests passing, 0 failed, test duration",Run pytest in your local or CI environment. Screenshot the summary line.,530 automated tests is strong for a solo developer. Lead with this number.,Critical,Complete
CICD-04,Frontend Test Suite Screenshot,Screenshot of Vitest output: 233 tests passing,Run npm test in frontend/. Screenshot the summary.,Demonstrates full-stack testing discipline -- backend AND frontend.,High,Complete
CICD-05,Dependency Audit Screenshot,Screenshot of pip-audit output showing zero high-severity vulnerabilities,Run pip-audit in the app venv. Screenshot the clean output.,Shows security awareness -- dependency scanning in CI is an enterprise practice.,Medium,Complete
,,,,,,
--- CODE QUALITY EVIDENCE ---,,,,,,
CODE-01,Ruff Lint Clean Screenshot,Screenshot of ruff check . output showing zero violations after Session M cleanup,Run ruff check . in app/. Screenshot.,117 lint violations were fixed in one session -- good story to tell about code quality discipline.,Medium,Complete
CODE-02,Backend Router Code Sample - checks.py,"Export or screenshot of the checks.py router (26 KB, most complex file) showing the check creation function with status computation, FIFO decrement, and line item building",Copy relevant function to a Gist or include in portfolio write-up.,Shows real backend complexity: business logic - database patterns - status computation,High,Complete
CODE-03,Role-Based Access Control Code Sample,Screenshot or Gist of the deps.py router dependency showing the role enforcement pattern,app/ems_readykit/routers/deps.py -- the require_role() function and role constants.,Shows you understand JWT-based RBAC and FastAPI dependency injection.,High,Complete
CODE-04,Frontend Check Wizard Code Sample,Export or screenshot of the check wizard orchestration showing multi-step state management,frontend/src/modules/check-wizard/index.jsx,Shows React state management for a complex multi-step flow.,Medium,Complete
CODE-05,Alembic Migration Code Sample,Example migration showing batch mode ALTER TABLE (migration 0022 or 0023),app/alembic/versions/0022_*.py or 0023_*.py,Shows database migration best practices including SQLite/PostgreSQL compatibility.,Medium,Complete
CODE-06,Terraform Infrastructure Code Sample,Export of the Terraform main.tf or variables.tf showing Azure resource definitions,iac/Terraform/ directory,Shows Infrastructure as Code (IaC) skills -- a required skill for cloud engineering roles.,High,Complete
,,,,,,
--- TESTING EVIDENCE ---,,,,,,
TEST-01,Persona Test Files,The four persona test files: test_persona_responder.py / supervisor / admin + test_priority_items.py,app/tests/ directory -- already written. Export as Gists or link from GitHub.,"Shows BDD-style persona-driven testing -- rare in portfolios, explains your UX-first design philosophy.",High,Complete
TEST-02,Safety Check Test File,test_safety_checks.py showing O2 PSI minimum enforcement and date recurrence overdue logic,Same -- app/tests/test_safety_checks.py,Shows you tested for EMS-specific safety rules. This is the domain expertise differentiator.,High,Complete
TEST-03,Seed Integrity Test File,test_seed_integrity.py verifying the real Unit 712 data is correctly seeded,app/tests/test_seed_integrity.py,Shows you validated real-world data correctness -- not just unit tests.,Medium,Complete
